continent,country,population,gdp_per_capita
Africa,Algeria,46814308,5631.17999109851
Africa,Angola,37885849,2122.08368991872
Africa,Benin,14462724,1485.38018980894
Africa,Botswana,2521139,7695.2420641819
Africa,Burkina Faso,23548781,987.321378101867
Africa,Burundi,14047786,153.930217854023
Africa,Cabo Verde,524877,5272.85253011419
Africa,Cameroon,29123744,1762.3683508844
Africa,Central African Republic,5330690,516.170424537757
Africa,Chad,20299123,1016.08880662712
Africa,Comoros,866628,1784.11546860293
Africa,"Congo, Dem. Rep.",109276265,647.435704836002
Africa,"Congo, Rep.",6332961,2482.24894743495
Africa,Cote d'Ivoire,31934230,2709.89511641252
Africa,Djibouti,1168722,3496.47111876763
Africa,"Egypt, Arab Rep.",116538258,3338.47371395895
Africa,Equatorial Guinea,1892516,6745.40013244916
Africa,Eritrea,3535603,
Africa,Eswatini,1242822,3936.10969242371
Africa,Ethiopia,132059767,
Africa,Gabon,2538952,8218.76307061848
Africa,"Gambia, The",2759988,908.525674150965
Africa,Ghana,34427414,2405.79466378083
Africa,Guinea,14754785,1717.02318120779
Africa,Kenya,56432944,2206.1349785176
Africa,Lesotho,2337423,971.814620468788
Africa,Liberia,5612817,846.277368387389
Africa,Libya,7381023,6318.40314031017
Africa,Madagascar,31964956,544.997302693127
Africa,Malawi,21655286,508.371273531708
Africa,Mali,24478595,1086.1762176779
Africa,Mauritania,5169395,2082.78374423714
Africa,Mauritius,1259509,11871.733679438
Africa,Morocco,38081173,3993.38745117188
Africa,Mozambique,34631766,647.28579950207
Africa,Namibia,3030131,4413.1274418646
Africa,Niger,27032412,722.748650326257
Africa,Nigeria,232679478,806.945695055244
Africa,Rwanda,14256567,999.654561402699
Africa,Sao Tome and Principe,235536,3244.82899741459
Africa,Senegal,18501984,1743.98888384359
Africa,Seychelles,121354,17858.8226383978
Africa,Sierra Leone,8642022,873.388575182318
Africa,"Somalia, Fed. Rep.",19009151,636.983477589273
Africa,South Africa,64007187,6253.37158194543
Africa,South Sudan,11943408,
Africa,Sudan,50448963,989.312866210938
Africa,Tanzania,68560157,1185.74548339844
Africa,Togo,9515236,1043.14092889765
Africa,Tunisia,12277109,4350.3717971875
Africa,Uganda,50015092,1072.71369837695
Africa,Zambia,21314956,1235.08466482514
Africa,Zimbabwe,16634373,2656.40937654332
Americas,Antigua and Barbuda,93772,23725.7903725506
Americas,Argentina,45696159,13858.2039802008
Americas,"Bahamas, The",401283,39455.4466548546
Americas,Barbados,282467,25365.7949424181
Americas,Belize,417072,8429.67959707387
Americas,Bolivia,12413315,4001.21133990795
Americas,Brazil,211998573,10280.3148624429
Americas,Canada,41288599,54282.6176051733
Americas,Chile,19764771,16709.8893972307
Americas,Colombia,52886363,7913.98801464547
Americas,Costa Rica,5129910,18587.1532203614
Americas,Cuba,10979783,
Americas,Dominica,66205,10405.2787777582
Americas,Dominican Republic,11427557,10875.6618443092
Americas,Ecuador,18135478,6874.705739766
Americas,El Salvador,6338193,5579.65969165029
Americas,Grenada,117207,11871.6117006031
Americas,Guatemala,18406359,6150.02597767851
Americas,Guyana,831087,29883.6341152001
Americas,Haiti,11772557,2142.62330526788
Americas,Honduras,10825703,3426.43483328923
Americas,Jamaica,2839175,7019.74634780454
Americas,Mexico,130861007,14157.9445835849
Americas,Nicaragua,6916140,2847.53966339498
Americas,Panama,4515577,19102.8521936399
Americas,Paraguay,6929153,6416.09709002917
Americas,Peru,34217848,8452.37167047598
Americas,St. Kitts and Nevis,46843,22771.4168922033
Americas,St. Lucia,179744,14181.6303351598
Americas,St. Vincent and the Grenadines,100616,11501.2265187188
Americas,Suriname,634431,7430.70219176443
Americas,Trinidad and Tobago,1368333,19314.7163432664
Americas,United States,340110988,85809.9003846356
Americas,Uruguay,3386588,23906.5133029408
Americas,"Venezuela, RB",28405543,
Asia,Afghanistan,42647492,
Asia,Armenia,3033500,8500.60522486719
Asia,Azerbaijan,10202850,7283.83562954872
Asia,Bahrain,1588670,30048.2177718844
Asia,Bangladesh,173562364,2593.41607390407
Asia,Bhutan,791524,
Asia,Brunei Darussalam,462721,33417.8357740437
Asia,Cambodia,17638801,2627.8796974226
Asia,China,1408975000,13303.1481543868
Asia,Georgia,3673850,9193.66366361489
Asia,India,1450935791,2696.66389984463
Asia,Indonesia,283487931,4925.43048751861
Asia,"Iran, Islamic Rep.",91567738,4771.40029026226
Asia,Iraq,46042015,6073.61032342708
Asia,Israel,9974400,54176.6844383302
Asia,Japan,123975371,32475.8924992191
Asia,Jordan,11552876,4618.09592498567
Asia,Kazakhstan,20592571,14005.3487362345
Asia,"Korea, Dem. People's Rep.",26498823,
Asia,"Korea, Rep.",51751065,
Asia,Kuwait,4973861,32213.8622292316
Asia,Kyrgyz Republic,7224614,2419.26553574523
Asia,Lao PDR,7769819,2123.97909411797
Asia,Lebanon,5805962,
Asia,Malaysia,35557673,11867.2586435443
Asia,Maldives,527799,13215.5353637008
Asia,Mongolia,3524788,6691.48209834228
Asia,Myanmar,54500091,1359.25961394135
Asia,Nepal,29651054,1447.31004458428
Asia,Oman,5281538,20248.4168124608
Asia,Pakistan,251269164,1484.74985864775
Asia,Philippines,115843670,3984.8315387656
Asia,Qatar,2857822,76275.9076782833
Asia,Saudi Arabia,35300280,35057.2252306969
Asia,Singapore,6036860,90674.066632628
Asia,Sri Lanka,21916000,4515.56787322732
Asia,Syrian Arab Republic,24672760,
Asia,Tajikistan,10590927,1341.20229027672
Asia,Thailand,71668011,7345.13569000377
Asia,Timor-Leste,1400638,1343.14886031844
Asia,Turkiye,85518661,15473.2872636856
Asia,Turkmenistan,7494498,8571.60702949432
Asia,United Arab Emirates,10876981,49377.5643384379
Asia,Uzbekistan,36361859,3161.70010632875
Asia,Viet Nam,100987686,4717.29028732449
Asia,"Yemen, Rep.",40583164,
Europe,Albania,2714617,10011.6279856667
Europe,Andorra,81938,49303.6733899464
Europe,Austria,9178482,56833.1960472053
Europe,Belarus,9133712,8316.64776291533
Europe,Belgium,11876844,55954.6106261018
Europe,Bosnia and Herzegovina,3164253,8957.37294188215
Europe,Bulgaria,6444366,17412.4115085691
Europe,Croatia,3866300,23931.4528382746
Europe,Cyprus,1358282,38654.16796875
Europe,Czechia,10882164,31706.6234229743
Europe,Denmark,5976992,71851.7562131368
Europe,Estonia,1371986,31170.0915091887
Europe,Finland,5637214,53188.6186245158
Europe,France,68516699,46150.4876861593
Europe,Germany,83510950,55800.2194549412
Europe,Greece,10388805,24752.1068401681
Europe,Hungary,9562314,23310.7512733957
Europe,Iceland,404610,82703.8579937471
Europe,Ireland,5380257,107316.337306921
Europe,Italy,58986023,40226.0472416173
Europe,Latvia,1862441,23367.5986788961
Europe,Liechtenstein,40197,
Europe,Lithuania,2888055,29386.2878350187
Europe,Luxembourg,677717,137516.587324367
Europe,Malta,574346,42347.3073860173
Europe,Moldova,2389275,7617.51613089815
Europe,Monaco,38631,
Europe,Montenegro,623831,12935.4522712126
Europe,Netherlands,17994237,68218.7261019406
Europe,North Macedonia,1792179,9310.02790015256
Europe,Norway,5572272,86809.7246897431
Europe,Poland,36554707,25022.6716445953
Europe,Portugal,10701636,28844.4979246799
Europe,Romania,19069340,20072.4079244042
Europe,Russian Federation,143533851,14889.0185546875
Europe,San Marino,33977,
Europe,Serbia,6587202,13523.7246826854
Europe,Slovak Republic,5422069,26147.9028430133
Europe,Slovenia,2126324,34089.3527652778
Europe,Spain,48807137,35297.0094995565
Europe,Sweden,10569709,57723.2345031532
Europe,Switzerland,9034102,103669.872008144
Europe,Ukraine,37860221,5389.47314453125
Europe,United Kingdom,69226000,52636.7865943853
Oceania,Australia,27204809,64407.484256932
Oceania,Fiji,928784,6288.39867264416
Oceania,Kiribati,134518,2288.63458265531
Oceania,Marshall Islands,37548,7466.65186507409
Oceania,"Micronesia, Fed. Sts.",113160,4166.00476748564
Oceania,Nauru,11947,13421.8330584638
Oceania,New Zealand,5338500,48747.0136853042
Oceania,Palau,17695,
